occ_sum input_sum
366.6464 516.644820497305
367.6464 517.900085573776
368.6464 519.154772415832
369.6464 520.408881023474
370.6464 521.6624113967
371.6464 522.915363535512
372.6464 524.16773743991
373.6464 525.419533109892
374.6464 526.670750545459
375.6464 527.921389746612
376.6464 529.17145071335
377.6464 530.420933445673
378.6464 531.669837943581
379.6464 532.918164207075
380.6464 534.165912236154
381.6464 535.413082030818
382.6464 536.659673591067
383.6464 537.905686916901
384.6464 539.15112200832
385.6464 540.395978865325
386.6464 541.640257487915
387.6464 542.88395787609
388.6464 544.12708002985
389.6464 545.369623949196
390.6464 546.611589634126
391.6464 547.852977084642
392.6464 549.093786300743
393.6464 550.334017282429
394.6464 551.573670029701
395.6464 552.812744542558
396.6464 554.051240820999
397.6464 555.289158865026
398.6464 556.526498674639
399.6464 557.763260249836
400.6464 558.999443590619
401.6464 560.235048696986
402.6464 561.470075568939
403.6464 562.704524206477
404.6464 563.938394609601
405.6464 565.171686778309
406.6464 566.404400712603
407.6464 567.636536412482
408.6464 568.868093877946
409.6464 570.099073108996
410.6464 571.32947410563
411.6464 572.55929686785
412.6464 573.788541395655
413.6464 575.017207689045
414.6464 576.24529574802
415.6464 577.472805572581
416.6464 578.699737162726
417.6464 579.926090518457
418.6464 581.151865639773
419.6464 582.377062526675
420.6464 583.601681179161
421.6464 584.825721597233
422.6464 586.04918378089
423.6464 587.272067730132
424.6464 588.494373444959
425.6464 589.716100925372
426.6464 590.937250171369
427.6464 592.157821182952
428.6464 593.37781396012
429.6464 594.597228502873
430.6464 595.816064811212
431.6464 597.034322885135
432.6464 598.252002724644
433.6464 599.469104329738
434.6464 600.685627700417
435.6464 601.901572836682
436.6464 603.116939738531
437.6464 604.331728405966
438.6464 605.545938838986
439.6464 606.759571037591
440.6464 607.972625001782
441.6464 609.185100731557
442.6464 610.396998226918
443.6464 611.608317487864
444.6464 612.819058514395
445.6464 614.029221306511
446.6464 615.238805864213
447.6464 616.447812187499
448.6464 617.656240276371
449.6464 618.864090130829
450.6464 620.071361750871
451.6464 621.278055136498
452.6464 622.484170287711
453.6464 623.689707204509
454.6464 624.894665886892
455.6464 626.09904633486
456.6464 627.302848548414
457.6464 628.506072527553
458.6464 629.708718272276
459.6464 630.910785782585
460.6464 632.11227505848
461.6464 633.313186099959
462.6464 634.513518907024
463.6464 635.713273479674
464.6464 636.912449817909
465.6464 638.111047921729
466.6464 639.309067791134
467.6464 640.506509426125
468.6464 641.703372826701
469.6464 642.899657992862
470.6464 644.095364924608
471.6464 645.290493621939
472.6464 646.485044084856
473.6464 647.679016313358
474.6464 648.872410307445
475.6464 650.065226067117
476.6464 651.257463592374
477.6464 652.449122883217
478.6464 653.640203939645
479.6464 654.830706761658
480.6464 656.020631349256
481.6464 657.209977702439
482.6464 658.398745821208
483.6464 659.586935705561
484.6464 660.7745473555
485.6464 661.961580771024
486.6464 663.148035952134
487.6464 664.333912898828
488.6464 665.519211611108
489.6464 666.703932088973
490.6464 667.888074332423
491.6464 669.071638341458
492.6464 670.254624116079
493.6464 671.437031656284
494.6464 672.618860962075
495.6464 673.800112033451
496.6464 674.980784870412
497.6464 676.160879472959
498.6464 677.34039584109
499.6464 678.519333974807
500.6464 679.697693874109
501.6464 680.875475538997
502.6464 682.052678969469
503.6464 683.229304165527
504.6464 684.405351127169
505.6464 685.580819854397
506.6464 686.755710347211
507.6464 687.930022605609
508.6464 689.103756629593
509.6464 690.276912419161
510.6464 691.449489974315
511.6464 692.621489295055
512.6464 693.792910381379
513.6464 694.963753233289
514.6464 696.134017850783
515.6464 697.303704233863
516.6464 698.472812382528
517.6464 699.641342296779
518.6464 700.809293976614
519.6464 701.976667422035
520.6464 703.143462633041
521.6464 704.309679609632
522.6464 705.475318351808
523.6464 706.64037885957
524.6464 707.804861132917
525.6464 708.968765171849
526.6464 710.132090976366
527.6464 711.294838546468
528.6464 712.457007882155
529.6464 713.618598983428
530.6464 714.779611850286
531.6464 715.940046482729
532.6464 717.099902880757
533.6464 718.259181044371
534.6464 719.417880973569
535.6464 720.576002668353
536.6464 721.733546128722
537.6464 722.890511354676
538.6464 724.046898346216
539.6464 725.20270710334
540.6464 726.35793762605
541.6464 727.512589914345
542.6464 728.666663968225
543.6464 729.820159787691
544.6464 730.973077372741
545.6464 732.125416723377
546.6464 733.277177839598
547.6464 734.428360721404
548.6464 735.578965368796
549.6464 736.728991781772
550.6464 737.878439960334
551.6464 739.027309904481
552.6464 740.175601614213
553.6464 741.32331508953
554.6464 742.470450330433
555.6464 743.617007336921
556.6464 744.762986108994
557.6464 745.908386646652
558.6464 747.053208949895
559.6464 748.197453018724
560.6464 749.341118853137
561.6464 750.484206453136
562.6464 751.62671581872
563.6464 752.768646949889
564.6464 753.909999846644
565.6464 755.050774508984
566.6464 756.190970936909
567.6464 757.330589130419
568.6464 758.469629089514
569.6464 759.608090814194
570.6464 760.74597430446
571.6464 761.883279560311
572.6464 763.020006581747
573.6464 764.156155368768
574.6464 765.291725921375
575.6464 766.426718239566
576.6464 767.561132323343
577.6464 768.694968172705
578.6464 769.828225787652
579.6464 770.960905168185
580.6464 772.093006314302
581.6464 773.224529226005
582.6464 774.355473903293
583.6464 775.485840346166
584.6464 776.615628554624
585.6464 777.744838528668
586.6464 778.873470268297
587.6464 780.001523773511
588.6464 781.12899904431
589.6464 782.255896080694
590.6464 783.382214882664
591.6464 784.507955450218
592.6464 785.633117783358
593.6464 786.757701882083
594.6464 787.881707746394
595.6464 789.005135376289
596.6464 790.12798477177
597.6464 791.250255932836
598.6464 792.371948859487
599.6464 793.493063551723
600.6464 794.613600009545
601.6464 795.733558232951
602.6464 796.852938221943
603.6464 797.97173997652
604.6464 799.089963496683
605.6464 800.20760878243
606.6464 801.324675833763
607.6464 802.441164650681
608.6464 803.557075233184
609.6464 804.672407581272
610.6464 805.787161694945
611.6464 806.901337574204
612.6464 808.014935219048
613.6464 809.127954629477
614.6464 810.240395805491
615.6464 811.35225874709
616.6464 812.463543454275
617.6464 813.574249927045
618.6464 814.6843781654
619.6464 815.79392816934
620.6464 816.902899938865
621.6464 818.011293473976
622.6464 819.119108774672
623.6464 820.226345840952
624.6464 821.333004672819
625.6464 822.43908527027
626.6464 823.544587633306
627.6464 824.649511761928
628.6464 825.753857656135
629.6464 826.857625315927
630.6464 827.960814741304
631.6464 829.063425932267
632.6464 830.165458888815
633.6464 831.266913610948
634.6464 832.367790098666
635.6464 833.468088351969
636.6464 834.567808370857
637.6464 835.666950155331
638.6464 836.76551370539
639.6464 837.863499021034
640.6464 838.960906102263
641.6464 840.057734949078
642.6464 841.153985561477
643.6464 842.249657939462
644.6464 843.344752083032
645.6464 844.439267992188
646.6464 845.533205666928
647.6464 846.626565107254
648.6464 847.719346313164
649.6464 848.81154928466
650.6464 849.903174021742
651.6464 850.994220524408
652.6464 852.08468879266
653.6464 853.174578826496
654.6464 854.263890625918
655.6464 855.352624190926
656.6464 856.440779521518
657.6464 857.528356617695
658.6464 858.615355479458
659.6464 859.701776106806
660.6464 860.787618499739
661.6464 861.872882658258
662.6464 862.957568582361
663.6464 864.04167627205
664.6464 865.125205727324
665.6464 866.208156948183
666.6464 867.290529934627
667.6464 868.372324686657
668.6464 869.453541204271
669.6464 870.534179487471
670.6464 871.614239536256
671.6464 872.693721350627
672.6464 873.772624930582
673.6464 874.850950276123
674.6464 875.928697387249
675.6464 877.00586626396
676.6464 878.082456906256
677.6464 879.158469314138
678.6464 880.233903487604
679.6464 881.308759426656
680.6464 882.383037131293
