#time(s) power(W)
0.043620462890625 228.0
0.093620576171875 244.0
0.12362223046875 244.0
0.163622978515625 239.0
0.203625560546875 238.0
0.253640833984375 237.0
0.29362641015625 246.0
0.32362667578125 246.0
0.3636269765625 246.0
0.403648267578125 253.0
0.443633115234375 265.0
0.483635072265625 255.0
0.52363217578125 276.0
0.573636505859375 288.0
0.60363721875 288.0
0.643655998046875 302.0
0.683641625 312.0
0.7236405078125 312.0
0.75940868359375 304.0
0.80365800390625 292.0
0.8536441171875 253.0
0.879440376953125 253.0
0.9336453359375 241.0
0.963646427734375 241.0
1.0036669140625 241.0
1.043646025390625 240.0
1.083652890625 234.0
1.12365225 233.0
1.163653556640625 232.0
1.21367255859375 232.0
1.24365479296875 232.0
1.283657859375 241.0
1.32366255078125 247.0
1.36366169921875 248.0
1.413659947265625 262.0
1.443661013671875 262.0
1.4836650078125 271.0
1.519431990234375 272.0
1.56366430859375 289.0
1.603669703125 300.0
1.6436678203125 309.0
1.68367194921875 308.0
1.72366917578125 297.0
1.759439078125 286.0
1.8036713203125 258.0
1.843675974609375 248.0
1.883677193359375 245.0
1.923678041015625 246.0
1.959445279296875 238.0
2.003678509765625 239.0
2.05367927734375 238.0
2.083682390625 238.0
2.123687361328125 234.0
2.163687375 235.0
2.20370141015625 235.0
2.239483013671875 248.0
2.28368816015625 249.0
2.3236904765625 252.0
2.363691818359375 264.0
2.403707390625 273.0
2.443693537109375 273.0
2.4836966796875 282.0
2.533692064453125 300.0
2.563695017578125 300.0
2.599464744140625 311.0
2.643703466796875 309.0
2.68369971875 309.0
2.71946848046875 286.0
2.763700591796875 268.0
2.803884693359375 256.0
2.843708970703125 239.0
2.883708236328125 239.0
2.9237096015625 239.0
2.963707091796875 232.0
2.999477255859375 233.0
3.04372631640625 233.0
3.093710869140625 232.0
3.13371580859375 234.0
3.16371519140625 232.0
3.20373328515625 240.0
3.23951323046875 250.0
3.279485744140625 251.0
3.323722208984375 252.0
3.363723490234375 264.0
3.40373927734375 274.0
