#time(s) power(W)
0.04329665625 308.0
0.083296408203125 292.0
0.123299142578125 298.0
0.1633032578125 292.0
0.2032979921875 292.0
0.24331770703125 275.0
0.28330147265625 280.0
0.3233029140625 272.0
0.35907320703125 258.0
0.40330794921875 265.0
0.4433091640625 250.0
0.48330735546875 242.0
0.5233138203125 236.0
0.563313185546875 239.0
0.59908095703125 234.0
0.653316765625 230.0
0.683320646484375 230.0
0.719084359375 234.0
0.76331915625 228.0
0.80331948046875 227.0
0.853325259765625 231.0
0.8933264375 232.0
0.923354056640625 228.0
0.973321861328125 250.0
1.003365005859375 272.0
1.053329087890625 291.0
1.083327697265625 285.0
1.1233277734375 294.0
1.1633291640625 301.0
1.203331607421875 297.0
1.2433337578125 297.0
1.2833539765625 297.0
1.323338671875 292.0
1.36333863671875 291.0
1.403337048828125 278.0
1.453343109375 281.0
1.483338794921875 267.0
1.5233419140625 261.0
1.563340662109375 265.0
1.603355236328125 250.0
1.65337104296875 243.0
1.679118025390625 243.0
1.719142146484375 240.0
1.773351396484375 229.0
1.81335231640625 236.0
1.853356876953125 232.0
1.879120140625 231.0
1.933354564453125 229.0
1.959122755859375 230.0
2.0033745546875 230.0
2.039125017578125 232.0
2.093358083984375 230.0
2.133376466796875 259.0
2.17336483984375 265.0
2.199130314453125 278.0
2.24336519140625 296.0
2.2834291953125 292.0
2.333368296875 299.0
2.363393984375 305.0
2.399164927734375 310.0
2.44336862109375 297.0
2.483369703125 291.0
2.52337030078125 281.0
2.5633731484375 280.0
2.6033928359375 283.0
2.643372568359375 269.0
2.683376189453125 264.0
2.733378986328125 268.0
2.7633809453125 261.0
2.803377650390625 245.0
2.843382166015625 249.0
2.88338245703125 243.0
2.923388197265625 236.0
2.963401974609375 232.0
3.003386818359375 229.0
3.043402583984375 230.0
3.0833932890625 227.0
3.13342028125 231.0
3.163394125 234.0
3.203392921875 230.0
3.2434015078125 242.0
3.28339412109375 255.0
3.323399109375 261.0
3.359165375 286.0
3.39919671875 293.0
3.45341826171875 301.0
3.48341746484375 295.0
3.533408583984375 303.0
3.563409650390625 298.0
3.603424708984375 296.0
3.643405841796875 291.0
3.683425927734375 293.0
3.7234079765625 282.0
3.763410384765625 282.0
3.8034119375 269.0
3.843410681640625 261.0
3.883412744140625 267.0
3.9234278515625 260.0
3.96341801171875 243.0
3.999184984375 248.0
4.043419658203125 241.0
4.08341903515625 234.0
4.123421517578125 233.0
4.163420884765625 231.0
4.20342016796875 229.0
4.243424318359375 231.0
4.28344411328125 229.0
4.32342611328125 232.0
4.363429576171875 231.0
4.403431712890625 237.0
4.4534411875 253.0
4.483434458984375 269.0
4.523437166015625 272.0
4.56343283203125 291.0
4.603449724609375 299.0
4.63920487890625 295.0
4.679206494140625 319.0
4.723444416015625 297.0
4.763446302734375 295.0
4.813441986328125 290.0
4.843446251953125 293.0
4.883444705078125 281.0
4.92344504296875 282.0
4.963448109375 267.0
5.003446984375 269.0
5.043450158203125 264.0
5.08345383984375 255.0
5.123454806640625 240.0
5.16345315625 244.0
5.203455798828125 236.0
5.24346090625 231.0
5.2792248359375 231.0
5.323460763671875 228.0
5.363456169921875 229.0
5.403459505859375 229.0
5.443466470703125 231.0
5.483468859375 228.0
5.523466505859375 232.0
5.559232880859375 232.0
5.6034671015625 250.0
5.639235478515625 250.0
5.69347087890625 293.0
5.7192378828125 293.0
5.763470603515625 298.0
5.799240740234375 298.0
5.853476537109375 302.0
5.8934790078125 309.0
5.9334772109375 300.0
5.959245275390625 300.0
5.9992466796875 291.0
6.05348123828125 293.0
6.07924941796875 293.0
6.12348437890625 270.0
6.1734850625 265.0
6.203484896484375 267.0
6.243484744140625 255.0
6.283496705078125 245.0
6.323491611328125 240.0
6.37349397265625 242.0
6.41349282421875 236.0
6.43925996484375 236.0
6.479261341796875 233.0
6.523492150390625 230.0
6.559264181640625 230.0
6.599265126953125 233.0
6.64349719140625 232.0
6.693499939453125 235.0
6.72350047265625 232.0
6.763506375 253.0
6.803503177734375 271.0
6.84350262890625 284.0
6.883508314453125 293.0
6.92351542578125 300.0
6.963506974609375 298.0
7.00351369140625 304.0
7.043518369140625 298.0
7.083512908203125 298.0
7.123517615234375 296.0
7.1735167890625 292.0
7.199283353515625 292.0
7.243519583984375 282.0
7.293519859375 265.0
7.319287177734375 265.0
7.37352594140625 262.0
7.40352919921875 262.0
7.4535205859375 253.0
7.483523966796875 253.0
7.533528564453125 235.0
7.563528412109375 235.0
7.613529994140625 232.0
7.65355684375 230.0
7.679298634765625 230.0
7.72353125 230.0
7.773543392578125 229.0
7.803550400390625 229.0
7.839303294921875 229.0
7.883537861328125 230.0
7.923538666015625 244.0
7.963557455078125 251.0
8.003539138671876 272.0
8.04354613671875 280.0
8.083541408203125 288.0
8.123542974609375 296.0
8.163548197265625 295.0
8.199314169921875 301.0
8.23931496875 297.0
8.283575822265625 293.0
8.323552728515626 292.0
8.3635646796875 293.0
8.399347439453125 281.0
8.44355538671875 282.0
8.479322615234375 273.0
8.519323634765625 259.0
8.563561228515624 263.0
8.603565177734374 253.0
8.643561169921876 251.0
8.683567673828126 241.0
8.733563990234375 240.0
8.773561517578125 233.0
8.80356245703125 233.0
8.84356545703125 235.0
8.883568150390625 230.0
8.92357109765625 233.0
8.963580634765625 230.0
9.00357214453125 232.0
9.04357175390625 233.0
9.083574326171876 238.0
9.1235744609375 253.0
9.163574375 269.0
9.20357726171875 295.0
9.243578330078124 291.0
9.283591279296875 300.0
9.3235794140625 307.0
9.363584041015624 304.0
9.40358680859375 298.0
9.443581763671874 300.0
9.483588943359376 292.0
9.523587904296875 293.0
9.573590404296874 281.0
9.603604890625 281.0
9.6435900859375 268.0
9.67935966796875 262.0
9.723596212890625 268.0
9.76360444140625 252.0
9.803611431640626 243.0
9.843600365234375 240.0
9.883596732421875 242.0
9.923598919921876 238.0
9.963607482421875 232.0
10.013601974609376 229.0
10.043620419921876 229.0
10.083606189453125 228.0
10.123605939453125 229.0
10.16360812109375 229.0
10.203610130859374 231.0
10.24361219140625 245.0
10.283625998046874 249.0
10.32360946875 273.0
10.363612271484374 290.0
10.403613849609375 287.0
10.4436151484375 293.0
10.483619185546875 303.0
10.52361986328125 299.0
10.563619556640624 306.0
10.60363612890625 299.0
10.639389056640624 291.0
10.68362153515625 293.0
10.723622384765624 282.0
10.763624728515625 280.0
10.803624740234374 268.0
10.843627205078125 265.0
10.88363221484375 267.0
10.923633755859376 261.0
10.963628447265625 234.0
11.00363410546875 249.0
11.043657330078124 241.0
11.093633740234376 232.0
11.133654517578124 231.0
11.163634390625 231.0
11.203639431640624 230.0
11.243641208984375 228.0
11.2836703515625 230.0
11.323643947265625 231.0
11.3636432109375 237.0
11.4036475234375 241.0
11.443645623046875 246.0
11.483649896484375 272.0
11.5236498671875 275.0
11.563648513671875 294.0
11.60366183203125 302.0
11.6436495078125 298.0
11.683667283203125 306.0
11.719445982421876 300.0
11.76365355859375 298.0
11.803657115234374 293.0
11.843661583984375 292.0
11.883658966796874 282.0
11.923663380859375 279.0
11.963661044921874 272.0
12.003681876953125 266.0
12.043662005859375 260.0
12.083665455078124 250.0
12.1236659765625 249.0
12.163671265625 241.0
12.2136685078125 237.0
12.253670373046875 230.0
12.27943920703125 230.0
12.323673544921874 230.0
12.35944162890625 230.0
12.403673099609374 227.0
12.4436759296875 229.0
12.483675890625 225.0
12.523676466796875 229.0
12.563683630859375 243.0
12.6036921015625 255.0
12.643697283203124 270.0
12.683698015625 287.0
12.72368596875 296.0
12.763689083984374 291.0
12.803691240234375 301.0
12.8436882421875 307.0
12.883688751953125 305.0
12.923688966796876 299.0
12.963707275390625 293.0
13.01369581640625 292.0
13.043691744140625 284.0
13.083694703125 281.0
13.133717146484376 265.0
13.16370120703125 271.0
13.199467443359374 264.0
13.24370269921875 268.0
13.283701125 241.0
13.323715482421875 243.0
13.363705833984374 237.0
13.399473244140625 234.0
13.443708470703125 234.0
13.479475724609374 233.0
13.5337098671875 231.0
13.559478349609375 230.0
13.5994795078125 232.0
13.639480677734374 231.0
13.683726576171875 230.0
13.723716751953125 234.0
13.773716095703126 254.0
13.803718796875 262.0
13.843722763671876 274.0
13.883723138671876 293.0
13.923722869140626 301.0
13.963722951171874 294.0
14.0037532734375 304.0
14.053725056640625 296.0
14.0937283984375 294.0
14.1194955546875 291.0
14.173729146484375 282.0
14.203747732421874 282.0
14.243733205078126 281.0
14.279501544921875 267.0
14.323736283203125 272.0
14.363738564453126 253.0
14.403736798828126 259.0
14.44373819140625 242.0
14.483738693359374 237.0
14.5237430625 240.0
14.563738517578125 234.0
14.59951051953125 233.0
14.643745765625 228.0
14.693746052734374 229.0
14.72376308203125 231.0
14.773756794921875 226.0
14.803752283203124 231.0
14.8395176953125 234.0
14.88375375390625 245.0
14.9195201875 253.0
14.963769494140625 268.0
15.003754244140625 293.0
15.04377166015625 288.0
15.083761603515624 295.0
15.123760802734376 303.0
15.1637611484375 303.0
15.203766341796875 308.0
15.2437623359375 300.0
15.283780134765625 292.0
15.323780755859374 294.0
15.373769388671874 282.0
15.403768919921875 282.0
15.44376587890625 269.0
15.4837701015625 264.0
15.523774830078125 268.0
15.5637755390625 253.0
15.603774408203124 243.0
15.643776111328124 248.0
15.683774732421876 232.0
15.723775970703125 235.0
15.7637783828125 239.0
15.80378107421875 232.0
15.843780123046875 232.0
15.879549697265626 230.0
15.92378369140625 229.0
15.95955220703125 232.0
16.003788263671876 232.0
16.05378892578125 246.0
16.079555685546875 252.0
16.123796134765627 267.0
16.173795185546876 282.0
16.203794853515625 290.0
16.2537931015625 297.0
16.283791806640625 304.0
16.32380888671875 299.0
16.36380018359375 294.0
16.4037968828125 299.0
16.44379826953125 291.0
16.483800576171873 292.0
16.523799755859375 282.0
16.56380216015625 283.0
16.603801486328123 270.0
16.65380865625 265.0
16.683806896484374 269.0
16.723807171875 250.0
16.763808904296877 252.0
16.803812322265625 239.0
16.83957899609375 231.0
16.88381058203125 235.0
16.9238161640625 232.0
16.9638176953125 230.0
17.003830130859374 230.0
17.0395856640625 231.0
17.0838198671875 226.0
17.119587568359375 230.0
17.163822015625 235.0
17.21383026171875 240.0
17.243825275390623 253.0
17.293825626953126 266.0
17.3195937578125 286.0
17.363829755859374 295.0
17.4038889765625 292.0
17.453829341796876 300.0
17.479598642578125 306.0
17.523829048828127 292.0
17.56383525 298.0
17.613835345703126 293.0
17.643836203125 293.0
17.683839744140624 283.0
17.7238381953125 283.0
17.763839333984375 271.0
17.803843076171876 264.0
17.84384134765625 269.0
17.883843841796875 263.0
17.9196127265625 243.0
17.963847431640627 248.0
18.00384578515625 239.0
18.04385979296875 233.0
18.083849091796875 237.0
18.123851638671876 233.0
18.1638506015625 230.0
18.203851318359376 231.0
18.243854740234376 229.0
18.2838608125 227.0
18.3238546953125 232.0
18.363860525390624 236.0
18.3996486171875 249.0
18.4538711796875 264.0
18.4938800546875 279.0
18.519630564453124 285.0
18.559631599609375 295.0
18.603864794921876 303.0
18.643867880859375 299.0
18.683868001953126 297.0
18.723872509765624 293.0
18.763872583984377 293.0
18.8038729296875 281.0
18.8438736953125 280.0
18.8838738125 284.0
18.923875048828126 268.0
18.963911880859374 261.0
19.003877927734376 263.0
19.0438951875 246.0
19.08388216015625 240.0
19.123882748046874 241.0
19.16388215625 243.0
19.213882568359374 234.0
19.2438831171875 231.0
19.283884212890626 231.0
19.32390966015625 230.0
19.36388672265625 229.0
19.413892931640625 226.0
19.44389267578125 234.0
19.493899271484374 236.0
19.533898865234374 241.0
19.563900421875 255.0
19.603897369140626 280.0
19.64389712890625 287.0
19.6939031640625 297.0
19.71966782421875 294.0
19.759694126953125 302.0
19.803901103515624 309.0
19.839671021484374 295.0
19.883905806640627 298.0
19.933910142578124 293.0
19.959674640625 282.0
19.999989357421875 279.0
