#time(s) power(W)
0.043227462890625 265.0
0.093227744140625 248.0
0.11899857421875 248.0
0.17323080859375 260.0
0.20323608984375 260.0
0.243239560546875 262.0
0.279003357421875 269.0
0.323276537109375 256.0
0.373237076171875 251.0
0.40325940625 251.0
0.4432420546875 273.0
0.483241373046875 267.0
0.523242416015625 259.0
0.56324239453125 235.0
0.603243703125 251.0
0.643251236328125 272.0
0.683245912109375 273.0
0.733249197265625 247.0
0.763252015625 247.0
0.80325418359375 255.0
0.843255357421875 263.0
0.883250849609375 264.0
0.92325584375 270.0
0.963256021484375 244.0
1.003260802734375 244.0
1.04326020703125 264.0
1.083262310546875 275.0
1.12326218359375 266.0
1.1632665625 255.0
1.203262970703125 227.0
1.24326921484375 254.0
1.283268041015625 272.0
1.323265615234375 266.0
1.359036681640625 259.0
1.403452291015625 236.0
1.443271353515625 257.0
1.48327040625 269.0
1.523275796875 267.0
1.563276927734375 258.0
1.603277681640625 254.0
1.64327801953125 246.0
1.6832771484375 272.0
1.723277291015625 270.0
1.763278740234375 268.0
1.8032856328125 259.0
1.843283900390625 236.0
1.8832871640625 261.0
1.923285681640625 269.0
1.963286171875 264.0
2.0132929140625 240.0
2.043286974609375 240.0
2.0832897890625 255.0
2.12329316796875 263.0
2.163294119140625 268.0
2.203295703125 259.0
2.243296939453125 252.0
2.283295423828125 245.0
2.323318294921875 272.0
2.363301154296875 260.0
2.403299884765625 269.0
2.443299212890625 248.0
2.483308759765625 249.0
2.523308435546875 264.0
2.563307876953125 260.0
2.603305275390625 266.0
2.6433087734375 257.0
2.68330980859375 230.0
2.723312216796875 264.0
2.76331349609375 281.0
2.803315173828125 265.0
2.8390821328125 259.0
2.8833166640625 236.0
2.9233193984375 250.0
2.963319669921875 271.0
3.003318318359375 271.0
3.043329421875 268.0
3.08332126171875 250.0
3.12332394140625 243.0
3.16332680078125 263.0
3.20332711328125 279.0
3.243325470703125 265.0
3.283328109375 257.0
3.323328982421875 226.0
3.363333322265625 252.0
3.40333083203125 269.0
3.4433365078125 267.0
3.479102623046875 259.0
3.52333529296875 237.0
3.563337943359375 255.0
3.60333826953125 262.0
3.64334025390625 271.0
3.683341611328125 259.0
3.723342888671875 248.0
3.763342072265625 247.0
3.803345171875 262.0
3.843344990234375 261.0
3.8933706640625 256.0
3.923347775390625 256.0
3.9633493984375 249.0
4.003351306640625 260.0
4.0433516953125 275.0
4.083357091796875 267.0
4.119121931640625 257.0
4.163360603515625 232.0
4.20335892578125 274.0
4.243358216796875 268.0
4.283359724609375 262.0
4.32336227734375 260.0
4.363360529296875 243.0
4.403362359375 256.0
4.44336290234375 262.0
4.48336711328125 264.0
4.5233654140625 269.0
4.5633672890625 254.0
4.603367251953125 242.0
4.643374158203125 253.0
4.683372326171875 267.0
4.723370212890625 267.0
4.75916899609375 261.0
4.803372841796875 234.0
4.843374943359375 257.0
4.883376544921875 264.0
4.923378453125 264.0
4.96338134375 260.0
5.003383638671875 239.0
5.0433801484375 253.0
5.083385017578125 265.0
5.119152455078125 267.0
5.16364921875 258.0
5.199155484375 254.0
5.24338871484375 244.0
5.283392837890625 256.0
5.32339162890625 268.0
5.363392541015625 268.0
5.403394263671875 260.0
5.443394923828125 237.0
5.483392947265625 261.0
5.523397134765625 279.0
5.563399626953125 262.0
5.603401484375 257.0
5.64340109375 230.0
5.683400638671875 255.0
5.72340408203125 275.0
5.7634029140625 275.0
5.8034048359375 259.0
5.83917482421875 241.0
5.883408181640625 245.0
5.923410759765625 264.0
5.963412724609375 267.0
6.00340905859375 269.0
6.043414935546875 252.0
6.083417669921875 243.0
6.12341415234375 255.0
6.163415935546875 269.0
6.203416806640625 270.0
6.243419455078125 259.0
6.293524173828125 233.0
6.323421552734375 250.0
6.363422662109375 263.0
6.403423828125 263.0
6.44342834765625 260.0
6.48351926953125 242.0
6.523427640625 255.0
6.563429783203125 263.0
6.60343333984375 266.0
6.643433615234375 258.0
6.683434509765625 255.0
6.733450033203125 251.0
6.76343404296875 262.0
6.8034359375 265.0
6.843437931640625 263.0
6.883438923828125 254.0
6.9192080234375 244.0
6.9634434296875 257.0
7.00344673828125 275.0
7.04345426953125 260.0
7.083447162109375 259.0
7.12344596875 234.0
7.163445326171875 255.0
7.203447068359375 273.0
7.243447060546875 272.0
7.2834501796875 257.0
7.323450865234375 245.0
7.363453103515625 253.0
7.403465421875 261.0
7.4434580703125 278.0
7.483458396484375 266.0
7.5234618984375 257.0
7.559227705078125 238.0
7.603461580078125 253.0
7.64346028125 266.0
7.683724619140625 267.0
7.72346701953125 260.0
7.7634659296875 237.0
7.8034673515625 254.0
7.843466353515625 268.0
7.883471490234375 260.0
7.92347219921875 259.0
7.96347533203125 249.0
8.0134753203125 250.0
8.0434753671875 269.0
8.08347567578125 270.0
8.123479595703126 270.0
8.163476515625 248.0
8.203480361328126 245.0
8.24347932421875 259.0
8.28372472265625 271.0
8.323485201171875 268.0
8.363503271484374 256.0
8.403484814453124 231.0
8.45348768359375 260.0
8.48348773046875 267.0
8.52349055859375 275.0
8.563489982421874 256.0
8.603491755859375 241.0
8.643496677734374 251.0
8.68349791796875 265.0
8.723498880859376 267.0
8.763499072265626 259.0
8.803503181640625 253.0
8.843498587890625 247.0
8.879268484375 270.0
8.923503474609374 271.0
8.963502931640624 258.0
9.00350680078125 256.0
9.043508552734375 240.0
9.093505392578125 262.0
9.13351355078125 268.0
9.163508333984375 266.0
9.2035105 254.0
9.24351241796875 238.0
9.2835181328125 253.0
9.323515509765626 270.0
9.3635155 260.0
9.40352921875 259.0
9.4435375859375 245.0
9.4835292734375 250.0
9.523524015625 274.0
9.56352484765625 262.0
9.603527193359374 269.0
9.6435263828125 254.0
9.683527017578125 249.0
9.7193240078125 261.0
9.763527095703125 264.0
9.80353255078125 266.0
9.843531681640625 253.0
9.88353354296875 237.0
9.923529333984375 254.0
9.963531240234374 262.0
10.00354009375 260.0
10.043534373046874 259.0
10.08354014453125 248.0
10.119306298828125 255.0
10.163539845703125 274.0
10.203542767578124 265.0
10.2435466484375 270.0
10.283547115234375 256.0
10.32354270703125 243.0
10.359313740234375 264.0
10.403548126953124 277.0
10.443548103515624 268.0
10.48354907421875 255.0
10.52355066796875 231.0
10.563553466796876 254.0
10.6035549453125 273.0
10.643557595703125 267.0
10.683556107421875 259.0
10.723556806640625 234.0
10.76355971484375 256.0
10.8135593515625 272.0
10.843562513671875 272.0
10.883563767578124 260.0
10.923565625 247.0
10.963565689453125 250.0
10.9993341171875 272.0
11.0435764453125 263.0
11.08356721484375 270.0
11.1235667421875 256.0
11.163569525390624 242.0
11.203577041015626 261.0
11.243575830078125 266.0
11.283572798828125 268.0
11.323576787109374 252.0
11.36357491015625 238.0
11.40357930859375 257.0
11.443596466796874 285.0
11.483582109375 260.0
11.523580197265625 256.0
11.56358237109375 248.0
11.603585958984375 257.0
11.639353724609375 265.0
11.683586119140625 265.0
11.723588697265624 259.0
11.76358812109375 254.0
11.803593388671874 243.0
11.843589998046875 254.0
11.883592314453125 269.0
11.923592912109376 269.0
11.963594533203125 261.0
12.0035966875 237.0
12.043597115234375 251.0
12.0935990625 264.0
12.12360137890625 264.0
12.163600802734376 259.0
12.203604224609375 239.0
12.24360473046875 256.0
12.27937333203125 269.0
12.323623685546876 271.0
12.363620830078125 259.0
12.403625232421875 249.0
12.4436232734375 250.0
12.483613439453125 261.0
12.52361580078125 264.0
12.5636146171875 267.0
12.6036128671875 256.0
12.64361761328125 242.0
12.68362035546875 253.0
12.733621822265626 267.0
12.763618470703125 268.0
12.803620330078125 260.0
12.84362036328125 237.0
12.879391578125 251.0
12.923628888671875 270.0
12.9636265 260.0
13.003633658203125 260.0
13.043630384765626 232.0
13.0836297890625 259.0
13.123631517578126 280.0
13.17363732421875 264.0
13.203636439453126 257.0
13.2436354765625 244.0
13.283636068359375 244.0
13.323642853515626 265.0
13.359406572265625 274.0
13.403654759765624 265.0
13.44365814453125 256.0
13.4836421484375 234.0
13.523645376953125 250.0
13.563648931640625 267.0
13.603648169921875 266.0
13.6436489765625 260.0
13.68364715625 237.0
13.72365309375 255.0
13.763652607421875 266.0
13.80365165234375 270.0
13.84365686328125 271.0
13.893658224609375 252.0
13.9236586796875 244.0
13.963655251953124 271.0
14.01366162109375 260.0
14.043660810546875 269.0
14.08366169921875 247.0
14.123661607421875 238.0
14.163664337890625 260.0
14.19943246484375 267.0
14.243665552734376 269.0
14.2836687109375 255.0
14.323664859375 244.0
14.363669255859374 251.0
14.403672607421875 276.0
14.443673833984375 265.0
14.48367544140625 260.0
14.523673375 245.0
14.563674185546875 255.0
14.60367695703125 263.0
14.653675576171874 266.0
14.68367666796875 270.0
14.723680244140626 255.0
14.76367915625 245.0
14.80368345703125 263.0
14.839452044921876 264.0
14.883689296875 266.0
14.92368499609375 254.0
14.96368818359375 234.0
15.003687146484374 255.0
15.043699705078126 285.0
15.083689865234374 260.0
15.119460689453126 260.0
15.163695150390625 232.0
15.2036945 256.0
15.243695822265625 276.0
15.283717623046876 266.0
15.323700806640625 259.0
15.363698716796875 245.0
15.403735064453125 249.0
15.443717462890625 262.0
15.493724580078124 274.0
15.523703228515625 266.0
15.56370920703125 255.0
15.6037063203125 237.0
15.643711416015625 253.0
15.679478255859374 281.0
15.723710904296874 265.0
15.763710048828125 253.0
15.803716349609376 244.0
15.843717455078124 252.0
15.883718212890624 280.0
15.923719099609375 267.0
15.963718615234376 259.0
16.003717685546874 243.0
16.043722865234376 247.0
16.083722 265.0
16.133723181640626 265.0
16.173725384765625 271.0
16.2037287578125 255.0
16.243743962890626 239.0
16.283728998046875 263.0
16.3194976953125 263.0
16.36374665625 266.0
16.40374479296875 255.0
16.44373508984375 237.0
16.48373340625 254.0
16.5237396796875 280.0
16.56373832421875 257.0
16.603741837890624 260.0
16.643737697265625 242.0
16.68374455859375 253.0
16.723740783203127 263.0
16.7637428671875 267.0
16.8037421953125 269.0
16.843750232421876 253.0
16.8837492421875 245.0
16.923747380859375 253.0
16.97374951953125 265.0
17.003752587890624 270.0
17.043754927734376 254.0
17.083752826171875 236.0
17.133755466796874 254.0
17.15952358984375 272.0
17.20375665234375 260.0
17.24375651171875 260.0
17.283771642578124 241.0
17.323776158203124 256.0
17.36381108984375 282.0
17.403778197265623 268.0
17.44376683203125 270.0
17.483764666015624 241.0
17.523770662109374 249.0
17.563767560546875 274.0
17.613769130859374 270.0
17.6537690703125 267.0
17.68377219140625 247.0
17.72377428125 233.0
17.7637728671875 270.0
17.799543322265624 273.0
17.843781248046874 267.0
17.883780775390626 260.0
17.923777703125 233.0
17.963782490234376 257.0
18.003786357421873 270.0
18.043784189453124 260.0
18.083784990234374 260.0
18.123786783203126 248.0
18.17378730859375 257.0
18.20378877734375 268.0
18.2537904765625 262.0
18.283793470703124 268.0
18.32380921484375 249.0
18.363795732421874 256.0
18.403797064453126 271.0
18.43956312890625 271.0
18.4837947578125 268.0
18.523800318359374 248.0
18.563796689453124 234.0
18.603799310546876 258.0
18.6438027734375 276.0
18.683802052734375 261.0
18.72380317578125 259.0
18.763809119140625 233.0
18.803805140625 253.0
18.843809009765625 270.0
18.893809251953126 271.0
18.923891060546875 258.0
18.963810197265627 252.0
19.003813720703125 243.0
19.04382228125 260.0
19.08382234765625 258.0
19.12383434765625 268.0
19.16381708203125 250.0
19.20381954296875 226.0
19.2438329140625 259.0
19.283833150390624 276.0
19.323836638671875 269.0
19.363824181640624 259.0
19.403826048828126 233.0
19.443827771484376 259.0
19.48382612109375 269.0
19.51959630078125 269.0
19.563833486328125 260.0
19.603830947265624 251.0
19.6438318984375 248.0
19.683834068359374 266.0
19.723836810546874 258.0
19.763836826171875 270.0
19.803835388671875 253.0
19.8438366796875 237.0
19.88383852734375 266.0
19.9238394765625 267.0
19.973840330078126 268.0
19.999924078125 268.0
