#time(s) power(W)
0.043476802734375 268.0
0.09346272265625 280.0
0.123465626953125 198.0
0.173463642578125 248.0
0.203483572265625 264.0
0.243470658203125 268.0
0.283469357421875 286.0
0.323469830078125 199.0
0.363473962890625 257.0
0.40347558203125 266.0
0.439267767578125 267.0
0.48350246484375 271.0
0.51924412109375 199.0
0.563477482421875 262.0
0.603481212890625 266.0
0.643516625 279.0
0.683477595703125 252.0
0.723481115234375 205.0
0.763498302734375 264.0
0.803484755859375 266.0
0.843485810546875 275.0
0.893489890625 234.0
0.92349876953125 217.0
0.96349221875 263.0
1.003493322265625 268.0
1.043510158203125 271.0
1.0792608984375 238.0
1.123495876953125 206.0
1.1635016015625 265.0
1.203512369140625 268.0
1.24349546484375 283.0
1.28350109765625 215.0
1.32349963671875 222.0
1.363500421875 265.0
1.4035075703125 269.0
1.44350561328125 276.0
1.483522080078125 202.0
1.51927525390625 239.0
1.5635095546875 264.0
1.6035088828125 270.0
1.643512685546875 276.0
1.679280115234375 208.0
1.73351791796875 253.0
1.7592824453125 264.0
1.803516837890625 269.0
1.843518892578125 277.0
1.88351917578125 199.0
1.923522111328125 252.0
1.9592884765625 266.0
2.003522501953125 268.0
2.04353932421875 277.0
2.083526791015625 205.0
2.1235242109375 261.0
2.1635298828125 265.0
2.199296119140625 276.0
2.24352840625 256.0
2.27929816796875 205.0
2.323530849609375 264.0
2.36353656640625 266.0
2.413535333984375 277.0
2.44353375 235.0
2.483551712890625 221.0
2.523536302734375 263.0
2.563537455078125 268.0
2.603550693359375 271.0
2.6535413671875 237.0
2.6935434375 205.0
2.71931230078125 205.0
2.763613349609375 268.0
2.803550236328125 276.0
2.843547759765625 219.0
2.89354870703125 220.0
2.9235566875 265.0
2.97355258984375 269.0
2.99932037890625 269.0
3.03935028125 273.0
3.0935586640625 237.0
3.1193244921875 237.0
3.163560345703125 268.0
3.213564220703125 277.0
3.24356860546875 209.0
3.283559697265625 251.0
3.323563029296875 264.0
3.36356312109375 268.0
3.40356273828125 283.0
3.443567873046875 198.0
3.49356573046875 260.0
3.523569017578125 265.0
3.56357155859375 268.0
3.613591748046875 263.0
3.653598134765625 199.0
3.679341740234375 199.0
3.72357723046875 265.0
3.7635886640625 277.0
3.803578263671875 264.0
3.843576138671875 213.0
3.8835817265625 262.0
3.923578734375 265.0
3.96358203125 273.0
4.003584900390625 238.0
4.043597666015625 209.0
4.0835891875 264.0
4.119355279296875 264.0
4.15938290234375 267.0
4.213622546875 238.0
4.253592390625 229.0
4.2793601796875 229.0
4.333622451171875 267.0
4.359362529296875 267.0
4.403598216796875 216.0
4.439390119140625 216.0
4.483611263671875 264.0
4.519367458984375 264.0
4.5636035390625 274.0
4.603615330078125 201.0
4.64360693359375 240.0
4.683606984375 265.0
4.723607091796875 267.0
4.76362144921875 279.0
4.80360887109375 279.0
4.8436124609375 204.0
4.8836090078125 255.0
4.92362715234375 265.0
4.973610498046875 274.0
5.003616015625 274.0
5.043633314453125 200.0
5.083620439453125 253.0
5.12361817578125 266.0
5.163621748046875 268.0
5.203636138671875 278.0
5.243623140625 204.0
5.28362521484375 261.0
5.323624013671875 265.0
5.363627009765625 276.0
5.399394736328125 257.0
5.443630373046875 218.0
5.48371572265625 258.0
5.53363072265625 277.0
5.55939916796875 277.0
5.613650201171875 216.0
5.643632333984375 216.0
5.6836350234375 262.0
5.7236370625 266.0
5.763648810546875 271.0
5.799406990234375 236.0
5.843638712890625 228.0
5.883643263671875 264.0
5.923658654296875 268.0
5.963641796875 283.0
6.003648287109375 213.0
6.0436568359375 226.0
6.083652171875 263.0
6.123650703125 269.0
6.163650306640625 282.0
6.203666669921875 211.0
6.25365437109375 265.0
6.279421671875 265.0
6.3236545703125 268.0
6.359424052734375 273.0
6.40366184375 198.0
6.44365783203125 250.0
6.483673337890625 265.0
6.523658220703125 268.0
6.56366344140625 279.0
6.60366818359375 198.0
6.643664166015625 263.0
6.68367128125 265.0
6.733669935546875 276.0
6.76368982421875 276.0
6.803670359375 200.0
6.843671009765625 263.0
6.879468298828125 266.0
6.92368844921875 279.0
6.9636746796875 251.0
7.0036756484375 207.0
7.0437012421875 262.0
7.083679328125 267.0
7.1236789375 275.0
7.163680927734375 249.0
7.203686208984375 223.0
7.24368334765625 264.0
7.28368252734375 267.0
7.319482021484375 270.0
7.36368476171875 228.0
7.403688509765625 217.0
7.443693212890625 264.0
7.483711275390625 218.0
7.52369583203125 278.0
7.563693259765625 211.0
7.6036973046875 236.0
7.643693369140625 265.0
7.68369604296875 269.0
7.72369916796875 280.0
7.77371366015625 252.0
7.8036995625 252.0
7.84370398828125 264.0
7.893701923828125 271.0
7.9237059375 271.0
7.95947358203125 248.0
8.00370741015625 247.0
8.04372652734375 265.0
8.083709498046876 268.0
8.1237103203125 287.0
8.16371687890625 202.0
8.2037276015625 255.0
8.243715544921875 266.0
8.283718107421874 267.0
8.32372109375 272.0
8.363719458984376 199.0
8.413721046875 265.0
8.443722380859375 265.0
8.483735662109375 278.0
8.523724794921876 254.0
8.563722443359374 204.0
8.60372643359375 261.0
8.643724748046875 266.0
8.68372706640625 275.0
8.72373196875 254.0
8.763747224609375 219.0
8.803730185546875 264.0
8.843732642578125 267.0
8.8837334609375 268.0
8.923757814453126 230.0
8.963734681640625 215.0
9.0037396640625 264.0
9.053755349609375 279.0
9.083739169921875 279.0
9.11950933203125 208.0
9.163745513671875 236.0
9.203761349609374 263.0
9.2437495390625 268.0
9.28374494140625 277.0
9.32374853125 209.0
9.36374692578125 235.0
9.40375211328125 264.0
9.443752306640626 268.0
9.483765623046875 287.0
9.523757203125 199.0
9.563753306640624 250.0
9.6037535859375 265.0
9.643776380859375 268.0
9.6937586328125 198.0
9.723763412109374 198.0
9.763776037109375 259.0
9.80376107421875 265.0
9.84376019140625 265.0
9.879572193359374 262.0
9.923768076171875 198.0
9.96377182421875 263.0
10.0037695390625 266.0
10.043784623046875 278.0
10.083773349609375 243.0
10.123773818359375 209.0
10.16377366796875 264.0
10.203792220703125 268.0
10.243787685546875 275.0
10.283775287109375 228.0
10.3338014765625 201.0
10.36377801953125 264.0
10.40378028125 268.0
10.443780392578125 270.0
10.483796583984375 232.0
10.519552640625 235.0
10.56378398828125 264.0
10.603790546875 268.0
10.643790046875 280.0
10.68378859765625 214.0
10.72379166015625 246.0
10.76381045703125 265.0
10.803793892578126 268.0
10.84379263671875 271.0
10.88379442578125 217.0
10.9237969140625 240.0
10.963796318359375 264.0
11.003801484375 269.0
11.04381316796875 280.0
11.0838016953125 207.0
11.123801955078125 238.0
11.1738039453125 264.0
11.2038165 269.0
11.243813337890625 274.0
11.283806708984375 200.0
11.323810365234374 254.0
11.363812720703125 266.0
11.403809779296875 267.0
11.443812146484374 275.0
11.48383234375 203.0
11.523815767578125 262.0
11.563817521484374 266.0
11.603821009765625 275.0
11.6438210859375 252.0
11.683820408203125 205.0
11.7238221640625 262.0
11.763840779296874 266.0
11.813823435546874 275.0
11.843828212890624 253.0
11.8838268828125 222.0
11.923831482421875 264.0
11.963826625 267.0
12.003834330078124 269.0
12.04384941796875 231.0
12.0838347109375 214.0
12.123832291015624 264.0
12.1638346171875 268.0
12.20385383984375 271.0
12.24383673828125 212.0
12.283837580078124 228.0
12.32383887890625 265.0
12.363843365234375 267.0
12.4038423828125 284.0
12.439632833984374 198.0
12.48386228125 244.0
12.523844443359375 264.0
12.5638472265625 269.0
12.6038492890625 277.0
12.643852451171876 203.0
12.683849390625 239.0
12.723851779296876 261.0
12.7638674375 267.0
12.8038539453125 274.0
12.84385885546875 201.0
12.894018173828124 254.0
12.92387374609375 265.0
12.96386148828125 268.0
13.0038666015625 278.0
13.043877541015625 206.0
13.083862673828126 262.0
13.123863916015624 267.0
13.163868779296875 276.0
13.203886728515625 257.0
13.243867798828125 202.0
13.28387409765625 264.0
13.333992435546875 266.0
13.3638746484375 276.0
13.403875337890625 232.0
13.443877849609375 216.0
13.4838922109375 264.0
13.5196449140625 268.0
13.563880291015625 271.0
13.603879044921875 233.0
13.6438815625 232.0
13.683883947265626 264.0
13.723883841796875 268.0
13.76389965625 271.0
13.803887103515626 210.0
13.84388667578125 230.0
13.88388834375 264.0
13.9239039609375 268.0
13.95965801171875 281.0
14.003891873046875 196.0
14.043906599609375 227.0
14.083891732421876 264.0
14.119663158203124 268.0
14.1639036953125 278.0
14.20390790625 204.0
14.243904037109376 244.0
14.283900357421874 265.0
14.323906982421875 269.0
14.36390316015625 287.0
14.403908947265625 199.0
14.443905548828125 256.0
14.48392215234375 265.0
14.52390926953125 268.0
14.563910865234375 271.0
14.613919873046875 199.0
14.64391073828125 263.0
14.683914830078125 266.0
14.7239150078125 265.0
14.7639336328125 251.0
14.79968451171875 205.0
14.843916412109374 263.0
14.883917177734375 267.0
14.923932484375 276.0
14.963920388671875 229.0
15.003926908203125 219.0
15.04393862890625 264.0
15.083924044921876 268.0
15.133930625 271.0
15.163930603515626 234.0
15.20394061328125 210.0
15.24392897265625 265.0
15.28393034375 267.0
15.323935177734375 281.0
15.36393586328125 211.0
15.40393552734375 230.0
15.43972259765625 264.0
15.483957607421875 270.0
15.523937490234376 282.0
15.563943326171875 213.0
15.60394069921875 247.0
15.64394296484375 264.0
15.683947017578125 267.0
15.723943712890625 275.0
15.76396241796875 200.0
15.803947017578125 242.0
15.843948830078125 264.0
15.883962 269.0
15.923966501953124 271.0
15.96395112890625 199.0
16.003954884765626 254.0
16.043965083984375 265.0
16.079723833984374 268.0
16.123957318359373 256.0
16.16395886328125 203.0
16.20397792578125 261.0
16.243959451171875 265.0
16.283961501953126 277.0
16.3239634140625 258.0
16.363967 219.0
16.403965412109375 264.0
16.443967173828124 267.0
16.4839840703125 276.0
16.523970578125 234.0
16.56396816796875 216.0
16.60397069921875 264.0
16.643973724609374 267.0
16.683976748046874 270.0
16.73397633203125 233.0
16.763995359375 210.0
16.803979263671874 264.0
16.84397866796875 268.0
16.883983333984375 282.0
16.9197496796875 212.0
16.963985515625 228.0
17.003985208984375 264.0
17.043996408203125 267.0
17.08399028125 284.0
17.133994181640624 214.0
17.163990001953124 244.0
17.204007123046875 265.0
17.24399258203125 268.0
17.283992091796875 276.0
17.323994291015627 201.0
17.35976339453125 258.0
17.4039978359375 265.0
17.443998826171875 269.0
17.484011654296875 269.0
17.52400265625 199.0
17.56400714453125 256.0
17.60400250390625 266.0
17.644026177734375 278.0
17.6840064140625 268.0
17.724007791015627 208.0
17.7640210234375 262.0
17.8140088671875 266.0
17.844014482421876 278.0
17.894011173828126 238.0
17.924011109375 211.0
17.964013654296874 263.0
17.99978331640625 267.0
18.04402900390625 271.0
18.084017306640625 239.0
18.124023228515625 215.0
18.164018546875 264.0
18.20403759765625 267.0
18.244019564453126 271.0
