#time(s) power(W)
9.137890625e-05 263.0
0.04329008203125 232.0
0.083290423828125 295.0
0.123291525390625 265.0
0.173296134765625 291.0
0.203303009765625 291.0
0.243294189453125 243.0
0.283296943359375 233.0
0.32329610546875 297.0
0.36330176171875 250.0
0.403554283203125 249.0
0.443307205078125 280.0
0.4833039296875 232.0
0.523308908203125 281.0
0.563304873046875 281.0
0.6033066328125 233.0
0.643308322265625 300.0
0.68331038671875 267.0
0.723308943359375 231.0
0.763310376953125 305.0
0.81331445703125 232.0
0.84331730859375 232.0
0.88331701953125 299.0
0.92331725390625 233.0
0.96331837890625 235.0
1.0033283515625 293.0
1.04332291015625 231.0
1.083321521484375 267.0
1.123322216796875 280.0
1.163324125 231.0
1.203328271484375 293.0
1.2433260859375 265.0
1.28332620703125 230.0
1.32332989453125 300.0
1.36332887109375 256.0
1.40333815625 227.0
1.453345599609375 305.0
1.4833342265625 243.0
1.523348431640625 230.0
1.56334213671875 290.0
1.603339830078125 235.0
1.639107111328125 251.0
1.68333968359375 294.0
1.723340052734375 233.0
1.76334215625 272.0
1.8033428828125 280.0
1.84334656640625 225.0
1.883345693359375 291.0
1.923348677734375 251.0
1.96334898046875 231.0
2.0033574140625 299.0
2.043351111328125 239.0
2.09335412109375 231.0
2.12336852734375 299.0
2.163355642578125 244.0
2.20336073046875 236.0
2.243355412109375 290.0
2.283360541015625 235.0
2.323359994140625 270.0
2.363363046875 282.0
2.4033712421875 233.0
2.44336491015625 295.0
2.483368654296875 260.0
2.523365126953125 229.0
2.56336979296875 302.0
2.603369298828125 255.0
2.643370466796875 231.0
2.68337430078125 297.0
2.733374109375 251.0
2.7633900546875 231.0
2.803375853515625 300.0
2.843374783203125 241.0
2.883377703125 246.0
2.919146240234375 281.0
2.96338053515625 235.0
3.00338123828125 278.0
3.04339324609375 276.0
3.083384583984375 233.0
3.1233882109375 298.0
3.1633854609375 259.0
3.203395359375 228.0
3.243386689453125 305.0
3.28338862890625 266.0
3.32339322265625 233.0
3.363393498046875 298.0
3.403391798828125 238.0
3.44339428515625 232.0
3.4833986328125 293.0
3.52339783984375 233.0
3.573400787109375 263.0
3.603406716796875 283.0
3.643407029296875 230.0
3.6834026484375 285.0
3.723405681640625 272.0
3.7634058125 228.0
3.80341144140625 304.0
3.84351882421875 252.0
3.883408880859375 231.0
3.923410044921875 308.0
3.96341494921875 241.0
4.003415357421875 230.0
4.04341124609375 291.0
4.0834146875 235.0
4.123413015625 244.0
4.163466033203125 281.0
4.199185779296875 247.0
4.243418125 277.0
4.283421359375 280.0
4.3234249921875 228.0
4.363420880859375 293.0
4.40343328515625 266.0
4.443423689453125 232.0
4.48342796484375 300.0
4.52342829296875 257.0
4.563432720703125 231.0
4.603433494140625 295.0
4.639199150390625 243.0
4.683435244140625 235.0
4.723432357421875 290.0
4.763434482421875 239.0
4.803440306640625 267.0
4.843440341796875 282.0
4.883438146484375 232.0
4.923443990234375 292.0
4.9634419765625 265.0
5.003447705078125 233.0
5.043445080078125 299.0
5.093555537109375 258.0
5.123443994140625 234.0
5.1634494609375 305.0
5.203460033203125 243.0
5.243450671875 235.0
5.27921886328125 291.0
5.323456478515625 240.0
5.363456267578125 247.0
5.403508595703125 293.0
5.443457765625 232.0
5.483459427734375 282.0
5.523458962890625 283.0
5.5634609609375 230.0
5.60346387109375 297.0
5.643471599609375 270.0
5.683461080078125 236.0
5.719232189453125 304.0
5.763467291015625 265.0
5.803472681640625 229.0
5.843466427734375 297.0
5.883469130859375 240.0
5.92347584375 240.0
5.96349097265625 292.0
6.003474732421875 233.0
6.043472849609375 273.0
6.083474865234375 282.0
6.123475353515625 231.0
6.163477654296875 298.0
6.203477001953125 269.0
6.243483982421875 230.0
6.283481978515625 305.0
6.32348234375 265.0
6.37348321484375 231.0
6.403492736328125 303.0
6.4434847265625 247.0
6.48348719140625 234.0
6.523489265625 298.0
6.55925802734375 242.0
6.603492392578125 249.0
6.643491794921875 292.0
6.6834972265625 231.0
6.72349543359375 282.0
6.763504375 281.0
6.803503517578125 232.0
6.843498107421875 289.0
6.883499966796875 267.0
6.923501583984375 229.0
6.963500671875 296.0
7.00350799609375 249.0
7.043511650390625 230.0
7.08350516796875 300.0
7.123507087890625 233.0
7.1635119296875 234.0
7.213801951171875 293.0
7.2435093203125 234.0
7.283517181640625 265.0
7.32351409765625 280.0
7.36353165234375 227.0
7.399284189453125 290.0
7.44351659375 265.0
7.483523416015625 230.0
7.523521728515625 297.0
7.563545546875 259.0
7.60352216796875 230.0
7.643525642578125 305.0
7.68352292578125 244.0
7.723524619140625 235.0
7.76352843359375 297.0
7.8035328828125 238.0
7.83929746875 255.0
7.8835315078125 292.0
7.923534634765625 232.0
7.96355212109375 281.0
8.003539953125 281.0
8.043539453125 230.0
8.08354044921875 298.0
8.12353834375 269.0
8.173542361328124 226.0
8.2035441875 305.0
8.243541556640626 251.0
8.279310728515625 230.0
8.32354550390625 297.0
8.36354852734375 238.0
8.4035492734375 233.0
8.443548412109376 292.0
8.483552203125 241.0
8.523552224609375 265.0
8.5635517265625 280.0
8.603552001953124 234.0
8.643555140625 291.0
8.683556052734374 266.0
8.72355959375 235.0
8.7635779375 299.0
8.803561142578125 259.0
8.843565375 231.0
8.883560171875 305.0
8.919357931640626 250.0
8.963564203125 235.0
9.00356800390625 298.0
9.043565158203124 238.0
9.083568578125 249.0
9.1235700234375 291.0
9.163591458984374 231.0
9.203573435546875 274.0
9.243573419921875 281.0
9.28357776171875 231.0
9.3235764453125 296.0
9.36361559765625 268.0
9.40357924609375 229.0
9.44357780859375 305.0
9.4835781796875 265.0
9.5235980859375 235.0
9.5735841796875 298.0
9.6035856015625 251.0
9.6435891015625 239.0
9.683585228515625 293.0
9.723585953125 234.0
9.75935625 262.0
9.803592533203124 282.0
9.84359221875 234.0
9.883595849609375 299.0
9.923595525390626 269.0
9.963595107421876 229.0
10.003594140625 304.0
10.04359925390625 266.0
10.083599763671875 230.0
10.123602146484375 309.0
10.1636148671875 250.0
10.213603091796875 230.0
10.24360181640625 299.0
10.28360303125 244.0
10.32360678125 245.0
10.3636059453125 292.0
10.403748046875 233.0
10.4436092578125 275.0
10.483614677734375 278.0
10.523610673828125 231.0
10.563632927734375 294.0
10.603612537109376 263.0
10.6536317890625 230.0
10.68361755078125 301.0
10.7236149296875 258.0
10.763621259765625 233.0
10.803621669921874 296.0
10.83938937890625 242.0
10.88362183984375 236.0
10.923626947265625 292.0
10.963627947265625 236.0
11.00362925 261.0
11.04363690625 282.0
11.083630353515625 230.0
11.123633427734376 283.0
11.163631923828126 264.0
11.20363223828125 229.0
11.243633638671875 301.0
11.28364812109375 256.0
11.32363546484375 228.0
11.36363603125 306.0
11.403636142578126 241.0
11.44364362890625 231.0
11.493656958984374 290.0
11.523643078125 235.0
11.563645365234375 243.0
11.603644248046875 293.0
11.643644576171875 232.0
11.683649736328125 272.0
11.723649005859375 282.0
11.7636534921875 230.0
11.803658939453125 299.0
11.84365504296875 260.0
11.883655890625 230.0
11.923654134765625 305.0
11.96365673046875 250.0
12.00366159765625 231.0
12.04365813671875 297.0
12.08366391015625 242.0
12.133661525390625 234.0
12.163660833984375 292.0
12.203661486328125 233.0
12.243662294921876 260.0
12.283667556640625 281.0
12.323667365234375 233.0
12.363669728515625 297.0
12.403675595703126 279.0
12.443670623046875 228.0
12.48367290625 303.0
12.52367493359375 265.0
12.5636759765625 231.0
12.603677646484375 309.0
12.64367475 251.0
12.68367977734375 231.0
12.723682322265624 300.0
12.773677650390624 242.0
12.80368280078125 244.0
12.84368232421875 291.0
