reported recalculated kernel uses_mem
733.676 707.7173 7 1
754.699 727.8103 7 1
763.641 737.8184 7 1
779.64 754.3683 7 1
790.046 764.2369 7 1
805.55 780.4865 7 1
809.167 784.3219 7 1
822.364 796.9654 7 1
824.168 799.0948 7 1
825.043 799.8315 7 1
826.491 801.201 7 1
827.939 802.906 7 1
830.992 805.6956 7 1
835.601 810.5342 7 1
838.783 813.7597 7 1
831.372 805.7605 7 1
835.601 810.3128 7 1
460.737 438.5239 8 1
480.277 457.9446 8 1
496.917 474.1659 8 1
517.872 494.7837 8 1
533.778 510.861 8 1
549.623 526.1536 8 1
560.756 537.5743 8 1
578.266 555.4746 8 1
594.33 570.6363 8 1
612.221 588.3273 8 1
620.932 596.9105 8 1
624.224 599.4209 8 1
632.876 607.3252 8 1
629.503 604.1592 8 1
631.417 605.6833 8 1
630.841 605.2462 8 1
635.515 609.777 8 1
637.2 610.6394 8 1
638.792 612.1161 8 1
632.042 606.1105 8 1
625.076 599.9358 8 1
625.8 601.0337 8 1
651.457 623.8402 8 1
662.83 637.1129 8 1
685.257 658.6704 8 1
694.439 669.5367 8 1
711.422 685.0349 8 1
722.547 697.0303 8 1
742.541 718.0112 8 1
759.528 734.2797 8 1
780.356 754.752 8 1
793.47 768.0968 8 1
796.478 771.8433 8 1
800.505 776.0622 8 1
806.857 782.9407 8 1
813.103 788.3997 8 1
819.6 795.026 8 1
819.054 794.387 8 1
821.49 796.5437 8 1
817.915 793.3912 8 1
815.832 791.2136 8 1
815.605 791.4193 8 1
816.947 792.182 8 1
820.626 795.3885 8 1
