#sensor_value	delta_value	duration_ns	duration_samples
535000000	7000000	40074843	9389
526000000	9000000	40073112	9384
530000000	4000000	80152813	18773
537000000	7000000	40073220	9390
532000000	5000000	40075494	9383
535000000	3000000	40076540	9390
530000000	5000000	40075082	9389
535000000	5000000	40075085	9383
528000000	7000000	40076936	9383
532000000	4000000	40073526	9384
526000000	6000000	40076661	9377
537000000	11000000	40074111	9380
530000000	7000000	40074542	9386
533000000	3000000	40077690	9382
528000000	5000000	40072596	9386
535000000	7000000	40076519	9383
526000000	9000000	40076285	9381
533000000	7000000	40073903	9381
528000000	5000000	40075616	9375
530000000	2000000	80151322	18773
535000000	5000000	40074750	9387
530000000	5000000	40076202	9405
532000000	2000000	40072545	9391
530000000	2000000	80151417	18788
528000000	2000000	40074177	9390
530000000	2000000	80150718	18785
535000000	5000000	40076680	9389
530000000	5000000	40077053	9394
532000000	2000000	40075126	9388
533000000	1000000	40073195	9387
528000000	5000000	40076654	9378
533000000	5000000	40075381	9385
526000000	7000000	40075151	9399
530000000	4000000	80149015	18767
528000000	2000000	40079129	9380
530000000	2000000	40070380	9388
526000000	4000000	80150720	18777
524000000	2000000	40077539	9389
528000000	4000000	40072878	9385
530000000	2000000	80150497	18774
528000000	2000000	40075247	9385
533000000	5000000	40076438	9389
530000000	3000000	40073405	9380
528000000	2000000	80150618	18789
530000000	2000000	40075200	9392
528000000	2000000	40075934	9388
530000000	2000000	80150501	18776
533000000	3000000	40076569	9392
530000000	3000000	40074221	9382
528000000	2000000	40074712	9385
526000000	2000000	40075274	9391
530000000	4000000	40074561	9387
533000000	3000000	40079080	9391
532000000	1000000	40074757	9388
530000000	2000000	40075516	9379
532000000	2000000	80150472	18784
530000000	2000000	80149768	18777
532000000	2000000	40074017	9397
530000000	2000000	120227970	28170
532000000	2000000	40073022	9387
533000000	1000000	40075737	9383
532000000	1000000	40075710	9386
530000000	2000000	40072955	9388
528000000	2000000	80152546	18764
526000000	2000000	80151425	18767
528000000	2000000	120222492	28170
530000000	2000000	40075470	9393
528000000	2000000	80151655	18799
526000000	2000000	40075901	9391
528000000	2000000	120225877	28173
530000000	2000000	160299750	37561
526000000	4000000	40075805	9378
528000000	2000000	40073222	9383
530000000	2000000	40079463	9386
528000000	2000000	40074325	9384
530000000	2000000	80149054	18783
532000000	2000000	80152524	18783
528000000	4000000	40074725	9388
530000000	2000000	40073659	9387
528000000	2000000	200377860	46955
530000000	2000000	40076085	9390
528000000	2000000	40072022	9388
526000000	2000000	40076305	9385
528000000	2000000	200377517	46933
530000000	2000000	80150839	18777
528000000	2000000	80149122	18796
530000000	2000000	40074467	9391
526000000	4000000	40074741	9390
528000000	2000000	40077903	9395
532000000	4000000	80147876	18755
533000000	1000000	40075559	9394
530000000	3000000	40075243	9394
528000000	2000000	200376061	46952
530000000	2000000	40078398	9398
533000000	3000000	40075064	9395
535000000	2000000	40075526	9397
537000000	2000000	40074948	9393
535000000	2000000	40071866	9382
533000000	2000000	40078843	9389
530000000	3000000	40074354	9386
528000000	2000000	80148737	18766
533000000	5000000	40076496	9401
530000000	3000000	80150240	18761
537000000	7000000	40073212	9383
535000000	2000000	40075105	9386
533000000	2000000	40078317	9379
535000000	2000000	200374529	46931
537000000	2000000	40074092	9381
539000000	2000000	40075794	9375
533000000	6000000	120229800	28140
530000000	3000000	80145722	18766
532000000	2000000	40075471	9378
535000000	3000000	40076048	9378
533000000	2000000	40076442	9382
530000000	3000000	40076243	9387
528000000	2000000	40074928	9378
530000000	2000000	40073225	9380
533000000	3000000	80150316	18770
528000000	5000000	40074774	9380
530000000	2000000	40075143	9378
528000000	2000000	80150946	18771
526000000	2000000	80151784	18779
528000000	2000000	120224289	28147
530000000	2000000	80150515	18767
528000000	2000000	40078684	9393
530000000	2000000	400750867	93953
533000000	3000000	40079463	9377
528000000	5000000	40071771	9384
532000000	4000000	80148292	18767
533000000	1000000	40075352	9379
530000000	3000000	160300815	37531
528000000	2000000	80152024	18760
530000000	2000000	160301434	37546
528000000	2000000	40076467	9384
530000000	2000000	40072921	9393
528000000	2000000	120227363	28177
530000000	2000000	40075813	9388
535000000	5000000	40075948	9391
528000000	7000000	120222177	28176
530000000	2000000	40075714	9392
528000000	2000000	80150892	18782
530000000	2000000	120227007	28147
526000000	4000000	40072973	9391
528000000	2000000	40077927	9389
530000000	2000000	40072655	9397
528000000	2000000	80151665	18775
530000000	2000000	120226861	28158
526000000	4000000	80147612	18770
528000000	2000000	40081704	9389
