#acc_value	delta_value	duration_ns	duration_samples
14099070807582	42343	40078282	3713
14099070849885	42303	40068920	3710
14099070892259	42374	40076802	3712
14099070934532	42273	40079309	3711
14099070976849	42317	40071102	3713
14099071019177	42328	40077606	3714
14099071061494	42317	40073393	3715
14099071103815	42321	40078848	3712
14099071146132	42317	40073366	3714
14099071188597	42465	40074460	3715
14099071230875	42278	40074338	3714
14099071273176	42301	40076433	3714
14099071315510	42334	40076732	3712
14099071357834	42324	40077280	3714
14099071400135	42301	40073089	3713
14099071442443	42308	40077869	3715
14099071484756	42313	40070339	3713
14099071527100	42344	40071239	3713
14099071569505	42405	40072280	3713
14099071611830	42325	40079733	3713
14099071654157	42327	40071131	3711
14099071696501	42344	40080960	3714
14099071738788	42287	40078176	3714
14099071781120	42332	40078665	3711
14099071823445	42325	40067346	3709
14099071865817	42372	40084008	3711
14099071908178	42361	40070151	3710
14099071950534	42356	40070653	3714
14099071992863	42329	40076638	3716
14099072035199	42336	40075291	3714
14099072077566	42367	40076987	3714
14099072119918	42352	40074895	3710
14099072162323	42405	40072606	3711
14099072204687	42364	40082960	3710
14099072247041	42354	40072832	3712
14099072289417	42376	40071081	3721
14099072331813	42396	40077156	3713
14099072374193	42380	40075810	3716
14099072416565	42372	40074989	3714
14099072458921	42356	40080332	3715
14099072501233	42312	40069677	3713
14099072543551	42318	40079441	3713
14099072585857	42306	40065745	3710
14099072628215	42358	40077431	3710
14099072670569	42354	40072795	3711
14099072712872	42303	40085518	3712
14099072755209	42337	40065856	3715
14099072797630	42421	40078229	3714
14099072840144	42514	40066331	3713
14099072882644	42500	40084778	3710
14099072925096	42452	40074463	3711
14099072967593	42497	40078837	3715
14099073009995	42402	40068532	3714
14099073052376	42381	40085535	3714
14099073094715	42339	40073405	3709
14099073137103	42388	40078274	3711
14099073179452	42349	40067434	3715
14099073221857	42405	40082489	3714
14099073264244	42387	40065661	3712
14099073306709	42465	40077917	3712
14099073349094	42385	40074807	3712
14099073391523	42429	40082883	3713
14099073433915	42392	40065987	3709
14099073476332	42417	40085522	3714
14099073518716	42384	40064112	3709
14099073561141	42425	40086211	3710
14099073603448	42307	40064097	3711
14099073645852	42404	40083055	3723
14099073688194	42342	40068157	3718
14099073730606	42412	40086004	3714
14099073772918	42312	40061772	3713
14099073815285	42367	40087167	3714
14099073857595	42310	40063052	3714
14099073899963	42368	40074025	3714
14099073942196	42233	40082774	3711
14099073985113	42917	40073751	3710
14099074027385	42272	40070614	3714
14099074069763	42378	40086862	3713
14099074112136	42373	40063787	3712
14099074154563	42427	40083594	3716
14099074197003	42440	40061634	3713
14099074239380	42377	40091938	3713
14099074281764	42384	40066813	3711
14099074324220	42456	40076202	3712
14099074366620	42400	40079334	3713
14099074408988	42368	40073415	3709
14099074451363	42375	40071325	3710
14099074493718	42355	40084274	3713
14099074536038	42320	40069844	3714
14099074578383	42345	40076576	3712
14099074620651	42268	40071292	3712
14099074663084	42433	40075089	3714
14099074705486	42402	40073745	3710
14099074747953	42467	40072229	3712
14099074790482	42529	40085002	3716
14099074833038	42556	40078635	3715
14099074875569	42531	40072288	3709
14099074918107	42538	40070858	3711
14099074960600	42493	40080471	3711
14099075003055	42455	40069343	3711
14099075045414	42359	40081080	3715
14099075087783	42369	40078399	3699
14099075130202	42419	40069710	3714
14099075172596	42394	40083914	3718
14099075214999	42403	40068936	3711
14099075257441	42442	40062941	3715
14099075299898	42457	40077790	3714
14099075342475	42577	40085316	3715
14099075384956	42481	40069575	3712
14099075427437	42481	40080086	3717
14099075469878	42441	40071704	3719
14099075512330	42452	40074694	3711
14099075554825	42495	40074977	3714
14099075597266	42441	40077325	3713
14099075639745	42479	40076862	3715
14099075682236	42491	40070948	3712
14099075724763	42527	40071612	3712
14099075767248	42485	40085639	3714
14099075809731	42483	40070565	3713
14099075852170	42439	40073815	3713
14099075894552	42382	40079117	3714
14099075936958	42406	40072507	3711
14099075979405	42447	40078825	3712
14099076021869	42464	40073182	3715
14099076064282	42413	40075532	3713
14099076106700	42418	40074871	3712
14099076149074	42374	40074306	3709
14099076191452	42378	40073303	3712
14099076233814	42362	40079487	3710
14099076276256	42442	40074659	3714
14099076318615	42359	40076748	3711
14099076361010	42395	40078180	3711
14099076403407	42397	40067990	3711
14099076445895	42488	40076404	3714
14099076488355	42460	40069009	3714
14099076530726	42371	40082174	3712
14099076573125	42399	40068378	3711
14099076615472	42347	40083920	3714
14099076657829	42357	40068220	3714
14099076700236	42407	40085158	3715
14099076742633	42397	40072286	3711
14099076785070	42437	40080342	3712
14099076827449	42379	40062063	3710
14099076869875	42426	40078710	3712
14099076912291	42416	40075977	3712
14099076954736	42445	40079350	3710
14099076997119	42383	40068766	3710
14099077039583	42464	40084483	3714
14099077082072	42489	40062851	3713
14099077124529	42457	40080266	3714
14099077167148	42619	40074776	3712
14099077209802	42654	40074780	3712
14099077252365	42563	40081061	3716
14099077294881	42516	40075975	3711
14099077337419	42538	40073944	3711
14099077379947	42528	40077984	3713
14099077422425	42478	40065195	3716
14099077465005	42580	40079063	3715
14099077507537	42532	40070555	3711
14099077550088	42551	40081827	3715
14099077592621	42533	40068743	3711
14099077635174	42553	40080248	3715
14099077677687	42513	40070120	3714
14099077720161	42474	40088691	3715
14099077762616	42455	40064353	3715
14099077805023	42407	40079166	3716
14099077847455	42432	40070304	3713
14099077889886	42431	40079367	3713
14099077932548	42662	40079319	3713
14099077975915	43367	40068671	3709
14099078019160	43245	40077864	3712
14099078062405	43245	40081897	3714
14099078105721	43316	40067332	3712
14099078149040	43319	40075874	3713
14099078192272	43232	40071928	3711
14099078235611	43339	40082284	3716
14099078278880	43269	40069139	3714
14099078322294	43414	40081206	3712
14099078365272	42978	40068377	3711
14099078408098	42826	40085276	3713
14099078450881	42783	40062599	3711
14099078493702	42821	40084199	3714
14099078536490	42788	40069962	3709
14099078579335	42845	40078143	3720
14099078622181	42846	40077874	3717
14099078664983	42802	40075287	3714
14099078707719	42736	40074003	3715
14099078750493	42774	40073043	3714
14099078793313	42820	40069339	3711
14099078836145	42832	40084858	3712
14099078878779	42634	40072456	3712
14099078921521	42742	40077336	3712
14099078964232	42711	40069098	3712
14099079006984	42752	40079512	3716
14099079049695	42711	40076013	3714
14099079092477	42782	40069496	3712
14099079135203	42726	40082956	3717
14099079178126	42923	40075797	3714
14099079221014	42888	40066665	3714
14099079263935	42921	40086930	3716
14099079306828	42893	40065353	3714
14099079349714	42886	40081144	3712
14099079392588	42874	40075050	3714
14099079435531	42943	40071821	3713
14099079478374	42843	40077541	3715
14099079521363	42989	40077899	3714
14099079564347	42984	40068544	3713
14099079607242	42895	40082612	3714
14099079650097	42855	40065739	3712
14099079692944	42847	40079991	3719
14099079735789	42845	40073824	3713
14099079778625	42836	40079987	3714
14099079821463	42838	40071805	3712
14099079864360	42897	40076233	3712
14099079907286	42926	40066890	3712
14099079950185	42899	40081865	3714
14099079993020	42835	40077530	3712
14099080035832	42812	40079507	3714
14099080078656	42824	40067899	3715
14099080121498	42842	40074059	3717
14099080164302	42804	40073930	3713
14099080207204	42902	40080721	3712
14099080250034	42830	40075439	3712
14099080292864	42830	40078920	3712
14099080335691	42827	40067508	3710
14099080378557	42866	40083067	3713
14099080421340	42783	40066645	3712
14099080464168	42828	40075677	3712
14099080506999	42831	40076061	3714
14099080549815	42816	40076120	3713
14099080592663	42848	40078801	3711
14099080635510	42847	40077450	3714
14099080678390	42880	40069594	3712
14099080721399	43009	40077045	3714
14099080764301	42902	40069431	3714
14099080807230	42929	40087313	3712
14099080850106	42876	40071895	3713
14099080892986	42880	40069002	3717
14099080935853	42867	40072116	3713
14099080978759	42906	40084626	3715
14099081021722	42963	40067315	3712
14099081064627	42905	40076664	3712
14099081107554	42927	40076034	3712
14099081150521	42967	40080854	3711
14099081193462	42941	40069606	3708
14099081236394	42932	40083030	3716
14099081279303	42909	40068866	3714
14099081322169	42866	40075360	3715
14099081365210	43041	40074662	3710
14099081408194	42984	40079628	3712
14099081451010	42816	40071923	3709
14099081493792	42782	40082064	3714
14099081536629	42837	40062630	3712
14099081579448	42819	40074430	3715
14099081622272	42824	40079087	3713
14099081665111	42839	40075225	3709
14099081707965	42854	40077348	3712
14099081750875	42910	40075229	3712
14099081793745	42870	40070022	3712
14099081836711	42966	40088282	3715
14099081879591	42880	40062556	3715
14099081922533	42942	40087505	3715
14099081965439	42906	40072540	3714
14099082008339	42900	40076999	3711
14099082051205	42866	40067540	3712
14099082094133	42928	40083662	3715
14099082137035	42902	40068073	3713
14099082179926	42891	40075346	3713
14099082222799	42873	40069759	3711
14099082265679	42880	40081663	3716
14099082308522	42843	40077219	3712
14099082351418	42896	40072045	3712
14099082394326	42908	40078778	3715
14099082437220	42894	40075422	3714
14099082480072	42852	40068494	3712
14099082522926	42854	40082008	3715
14099082565828	42902	40075754	3711
14099082608680	42852	40071938	3713
14099082651558	42878	40074319	3713
14099082694512	42954	40074235	3714
14099082737575	43063	40076331	3710
14099082780631	43056	40075602	3711
14099082823725	43094	40077327	3715
14099082866780	43055	40072354	3716
14099082909849	43069	40072782	3716
14099082952944	43095	40085363	3713
14099082996006	43062	40072811	3713
14099083039203	43197	40077809	3712
