#sensor_value	delta_value	duration_ns	duration_samples
526	2	40077339	10635
530	4	280524692	74373
528	2	200378802	53132
530	2	80150588	21249
528	2	160300527	42505
526	2	40074587	10625
528	2	200378827	53117
530	2	40072935	10628
533	3	40078516	10620
528	5	40070423	10620
526	2	40078564	10630
528	2	80148072	21256
530	2	200377111	53138
528	2	120222432	31875
530	2	120227081	31882
526	4	40075995	10628
529	3	40075757	10626
533	4	40075566	10635
526	7	80149472	21257
530	4	40076576	10625
535	5	40073653	10618
532	3	40075316	10627
533	1	40079412	10619
535	2	40072820	10628
532	3	80150994	21254
533	1	80148455	21258
532	1	40077997	10635
535	3	40073724	10625
533	2	40074097	10622
530	3	40075944	10628
533	3	40076804	10631
532	1	40073317	10620
533	1	40075062	10619
532	1	80152212	21257
533	1	40072497	10623
535	2	120227460	31888
532	3	40073826	10623
526	6	40075733	10630
528	2	40078015	10618
526	2	40075469	10627
528	2	40071792	10635
526	2	240452096	63769
528	2	80151481	21247
526	2	40075436	10631
530	4	40074327	10621
533	3	40077732	10630
528	5	40071829	10628
530	2	40078669	10626
526	4	120222376	31883
528	2	120227191	31811
526	2	40076536	10622
528	2	80148660	21252
530	2	40077813	10618
526	4	160299885	42492
528	2	40072392	10622
526	2	80152984	21257
528	2	40075175	10628
526	2	80149246	21257
528	2	120225620	31885
526	2	40078761	10622
528	2	280523269	74389
532	4	40075059	10629
530	2	80154281	21252
528	2	40071773	10625
533	5	40076417	10622
532	1	40075897	10623
528	4	40075790	10634
526	2	40072316	10631
530	4	40076909	10621
533	3	40075897	10632
530	3	80150198	21265
526	4	40075501	10624
528	2	80149609	21264
526	2	40075626	10622
528	2	80151031	21265
533	5	80147698	21254
528	5	40079700	10634
526	2	40072946	10636
528	2	80150744	21259
524	4	40074117	10640
522	2	40075625	10632
528	6	80151698	21258
524	4	40074403	10635
526	2	80150358	21264
528	2	80151384	21258
526	2	40075079	10621
530	4	80149393	21259
533	3	40077716	10628
528	5	40073450	10632
526	2	40074759	10626
528	2	40075923	10628
526	2	240450803	63789
528	2	200376042	53162
526	2	80151906	21252
522	4	40072310	10634
521	1	40077694	10632
519	2	40073290	10635
526	7	80152344	21275
528	2	80149248	21244
526	2	120228098	31895
521	5	40074118	10633
524	3	40078099	10628
537	13	40071392	10624
528	9	40077874	10631
526	2	200373581	53152
524	2	80151141	21269
526	2	240451877	63778
524	2	40076870	10620
522	2	40071124	10635
524	2	160302623	42503
528	4	40077888	10638
526	2	80150716	21267
524	2	40072950	10641
526	2	200378587	53173
528	2	40072504	10632
526	2	40075731	10634
528	2	120223845	31880
526	2	40077631	10633
528	2	200374453	53158
526	2	40077702	10630
525	1	40073411	10630
526	1	40077434	10628
524	2	80148626	21264
526	2	120224344	31904
524	2	80153235	21266
526	2	40068315	10624
524	2	40083081	10635
526	2	240448163	63794
524	2	120227501	31890
526	2	40074938	10624
528	2	40074921	10626
526	2	40074925	10625
528	2	40078034	10631
530	2	40073950	10635
528	2	80150569	21265
526	2	80151755	21267
528	2	80146526	21255
530	2	80153572	21258
532	2	80143438	21274
528	4	40083395	10631
530	2	40072895	10627
526	4	160298780	42527
524	2	40076985	10629
526	2	40075197	10639
522	4	40076770	10633
521	1	40075778	10629
524	3	160300653	42533
522	2	40075374	10629
526	4	40074130	10626
528	2	80150552	21264
526	2	80150831	21270
528	2	40076768	10623
526	2	80148785	21259
528	2	40076054	10632
530	2	80148246	21270
533	3	40075507	10641
530	3	40077073	10632
528	2	80147436	21263
526	2	80150518	21252
524	2	80150718	21260
526	2	40080447	10635
524	2	40072215	10635
526	2	40075204	10635
524	2	160300641	42521
526	2	80151590	21252
524	2	40072825	10631
526	2	40077265	10622
524	2	80149902	21251
526	2	40073300	10631
521	5	40079148	10628
526	5	40073809	10627
528	2	80148287	21266
526	2	80151272	21250
528	2	40075940	10634
526	2	120225359	31875
524	2	40077998	10632
526	2	80147067	21262
524	2	40074798	10625
526	2	200377807	53167
524	2	200374978	53154
526	2	40077509	10622
524	2	40074870	10625
521	3	40075704	10636
524	3	40073692	10631
526	2	120226427	31890
524	2	120224267	31879
526	2	120228825	31896
528	2	80148358	21268
526	2	40074856	10629
528	2	40078640	10643
524	4	80148814	21258
526	2	120223072	31904
530	4	40077286	10620
528	2	40073151	10625
526	2	40077745	10626
528	2	40074128	10627
524	4	40077585	10632
521	3	80149965	21258
524	3	40073298	10624
526	2	200378378	53164
528	2	40072735	10631
526	2	120228956	31915
524	2	80148238	21260
526	2	40075812	10630
524	2	40077153	10628
526	2	160297917	42510
530	4	40074977	10633
526	4	40078048	10622
524	2	80148453	21258
526	2	40076032	10633
524	2	40075591	10622
528	4	120222359	31895
526	2	120227831	31895
528	2	40074313	10627
526	2	40076909	10631
530	4	40076066	10630
528	2	80147402	21275
526	2	40070027	10626
528	2	40082348	10638
530	2	80149592	21261
526	4	120228876	31910
528	2	40073901	10634
526	2	80149243	21252
524	2	40077276	10631
526	2	120226819	31899
524	2	40075432	10634
530	6	40073310	10627
528	2	80149229	21269
522	6	40075556	10627
526	4	40074385	10635
524	2	120226087	31904
528	4	40075107	10616
526	2	40077196	10637
533	7	40073693	10634
524	9	40077264	10622
530	6	40071634	10627
526	4	40076552	10626
528	2	40078305	10624
524	4	40072544	10625
530	6	120227132	31891
528	2	40075458	10630
530	2	40073372	10631
528	2	40076443	10627
530	2	40075192	10636
526	4	40074972	10633
528	2	160303004	42537
526	2	40071114	10632
524	2	40077862	10635
526	2	40073154	10636
524	2	40076628	10626
526	2	120225815	31887
